group_name,score
Volt Typhoon,1
Lazarus Group,0.96
Kimsuky,0.88
Mustang Panda,0.72
Gamaredon Group,0.72
Turla,0.68
OilRig,0.68
Chimera,0.64
APT41,0.6
Magic Hound,0.6
TeamTNT,0.56
Tropic Trooper,0.56
Ke3chang,0.56
APT28,0.56
APT3,0.52
FIN7,0.52
APT38,0.52
MuddyWater,0.52
UNC3886,0.48
BRONZE BUTLER,0.48
APT32,0.48
FIN13,0.48
Threat Group-3390,0.48
Darkhotel,0.48
Medusa Group,0.44
Wizard Spider,0.44
Rocke,0.44
APT39,0.44
menuPass,0.44
HEXANE,0.44
Patchwork,0.4
Sidewinder,0.4
Dragonfly,0.4
ZIRCONIUM,0.32
Scattered Spider,0.32
RedCurl,0.32
Sandworm Team,0.32
BlackByte,0.32
Higaisa,0.32
APT5,0.28
Leviathan,0.28
APT37,0.28
Earth Lusca,0.28
ToddyCat,0.28
Lotus Blossom,0.28
FIN8,0.24
Play,0.24
APT42,0.24
GALLIUM,0.24
HAFNIUM,0.24
FIN6,0.24
Winter Vivern,0.24
Storm-0501,0.2
admin@338,0.2
Moonstone Sleet,0.2
APT29,0.2
Aquatic Panda,0.2
Inception,0.2
Silence,0.2
Fox Kitten,0.2
Windshift,0.2
LuminousMoth,0.16
Naikon,0.16
TA505,0.16
SideCopy,0.16
Contagious Interview,0.16
Storm-1811,0.16
Stealth Falcon,0.16
APT19,0.16
Indrik Spider,0.12
APT1,0.12
INC Ransom,0.12
Winnti Group,0.12
Sowbug,0.12
TA2541,0.12
BackdoorDiplomacy,0.12
Malteiro,0.12
Molerats,0.12
APT18,0.12
Sea Turtle,0.08
FIN5,0.08
Dark Caracal,0.08
FIN10,0.08
Agrius,0.08
Cobalt Group,0.08
Akira,0.08
Ember Bear,0.08
Andariel,0.08
Moses Staff,0.08
Daggerfly,0.08
Deep Panda,0.08
The White Company,0.08
Poseidon Group,0.08
Windigo,0.08
PROMETHIUM,0.08
Confucius,0.08
Group5,0.08
MoustachedBouncer,0.04
Leafminer,0.04
LAPSUS$,0.04
Equation,0.04
Velvet Ant,0.04
CopyKittens,0.04
Evilnum,0.04
Gorgon Group,0.04
Tonto Team,0.04
Saint Bear,0.04
PLATINUM,0.04
CURIUM,0.04
Blue Mockingbird,0.04
BlackTech,0
WIRTE,0
RTM,0
Ajax Security Team,0
Transparent Tribe,0
Suckfly,0
Cinnamon Tempest,0
Aoqin Dragon,0
Mustard Tempest,0
BITTER,0
FIN4,0
APT33,0
APT12,0
TA551,0
Putter Panda,0
Metador,0
APT-C-36,0
Carbanak,0
GOLD SOUTHFIELD,0
LazyScripter,0
Ferocious Kitten,0
Strider,0
Scarlet Mimic,0
Moafee,0
