Technique,Count
Spearphishing Link,13
PowerShell,13
Ingress Tool Transfer,12
Email Accounts,11
Domains,11
Match Legitimate Resource Name or Location,11
Malicious File,10
File Deletion,10
Exploitation for Client Execution,10
Tool,10
Valid Accounts,10
File and Directory Discovery,9
Windows Command Shell,9
LSASS Memory,9
Spearphishing Attachment,9
External Remote Services,8
System Information Discovery,8
Deobfuscate/Decode Files or Information,8
System Network Configuration Discovery,8
Windows Management Instrumentation,8
Registry Run Keys / Startup Folder,8
Remote Desktop Protocol,8
Exploit Public-Facing Application,8
Malicious Link,8
Malware,8
Process Discovery,8
Keylogging,8
System Network Connections Discovery,8
Web Shell,8
Visual Basic,7
Local Data Staging,7
System Owner/User Discovery,7
Data from Local System,7
Code Signing,7
Social Media Accounts,7
Scheduled Task,7
Exploitation for Privilege Escalation,7
SSH,6
Domain Account,6
Exfiltration Over C2 Channel,6
Web Protocols,6
Archive via Utility,6
Remote System Discovery,6
Credentials from Web Browsers,6
Timestomp,6
NTDS,6
Server,5
Symmetric Cryptography,5
Digital Certificates,5
Encrypted/Encoded File,5
Drive-by Compromise,5
Cloud Accounts,5
Bidirectional Communication,5
Vulnerability Scanning,5
Exfiltration to Cloud Storage,5
Masquerade Task or Service,5
Multi-hop Proxy,5
Network Service Discovery,5
Local Account,5
Web Services,5
Rundll32,5
Query Registry,5
Brute Force,4
System Time Discovery,4
Software Packing,4
Upload Malware,4
Windows Management Instrumentation Event Subscription,4
Windows Service,4
Proxy,4
Protocol Tunneling,4
Password Spraying,4
Email Addresses,4
Domain Accounts,4
SMB/Windows Admin Shares,4
Fallback Channels,4
Hidden Files and Directories,4
Domain Groups,4
Lateral Tool Transfer,4
Masquerading,4
Credentials from Password Stores,4
Unix Shell,4
Network Devices,4
Obfuscated Files or Information,3
Exploits,3
Internet Connection Discovery,3
Application Window Discovery,3
Log Enumeration,3
Local Groups,3
Modify Registry,3
Archive Collected Data,3
Automated Collection,3
Archive via Custom Method,3
Phishing for Information,3
Gather Victim Identity Information,3
External Proxy,3
Exfiltration Over Unencrypted Non-C2 Protocol,3
Peripheral Device Discovery,3
Python,3
Gather Victim Org Information,3
Security Account Manager,3
Trusted Relationship,3
Clear Command History,3
Clear Windows Event Logs,3
Botnet,3
Bootkit,3
Data Encrypted for Impact,3
Boot or Logon Initialization Scripts,3
Code Signing Certificates,3
DLL,3
Software Discovery,3
Spearphishing via Service,3
Native API,3
Indicator Removal,3
Network Sniffing,3
Mshta,3
OS Credential Dumping,3
Disable or Modify Tools,3
Search Open Websites/Domains,3
Screen Capture,3
Rootkit,3
Permission Groups Discovery,3
Disable or Modify System Firewall,3
Cloud Account,2
Clear Network Connection History and Configurations,2
Compromise Software Supply Chain,2
Code Repositories,2
Compiled HTML File,2
Compromise Host Software Binary,2
Cloud Services,2
System Checks,2
Accessibility Features,2
Binary Padding,2
Shortcut Modification,2
Service Stop,2
Software Deployment Tools,2
Data Staged,2
Data from Removable Media,2
Direct Volume Access,2
Data Transfer Size Limits,2
System Binary Proxy Execution,2
Steal Application Access Token,2
Standard Encoding,2
Supply Chain Compromise,2
Steal Web Session Cookie,2
DNS,2
Data Destruction,2
Credentials In Files,2
Credentials,2
Command Obfuscation,2
Command and Scripting Interpreter,2
Browser Information Discovery,2
System Service Discovery,2
Traffic Signaling,2
Scan Databases,2
Dynamic API Resolution,2
Disk Structure Wipe,2
Remote Data Staging,2
Remote Desktop Software,2
Remote Email Collection,2
Replication Through Removable Media,2
Remote Access Tools,2
Dynamic-link Library Injection,2
Dynamic Resolution,2
Dynamic Data Exchange,2
Password Managers,2
Financial Theft,2
Port Knocking,2
RC Scripts,2
Process Injection,2
Protocol or Service Impersonation,2
Private Keys,2
Search Victim-Owned Websites,2
Inhibit System Recovery,2
Non-Application Layer Protocol,2
Non-Standard Port,2
Indicator Removal from Tools,2
Impersonation,2
Indicator Blocking,2
Hide Infrastructure,2
Identify Roles,2
Internal Proxy,2
Internal Spearphishing,2
LSA Secrets,2
Local Accounts,2
Multi-Factor Authentication Request Generation,2
Multi-Stage Channels,2
Password Guessing,2
Pass the Hash,2
Local Storage Discovery,2
Masquerade File Type,2
Vulnerabilities,2
Virtual Private Server,2
BITS Jobs,2
